seconds,alt,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro
0.344727,119.695,0.227318,5.2355,8.06381,0.17871,-0.563486,0.224958
0.404297,119.706,0.820738,5.78106,8.45145,0.261788,-0.458112,0.196248
0.521484,119.505,0.440279,6.01556,9.05444,0.147251,-0.160926,0.13455
0.579102,119.367,1.00977,5.65424,7.48714,0.082499,-0.434288,0.221599
0.638672,119.42,0.815953,5.64945,8.41795,0.101436,0.0180575,0.221904
0.698242,119.315,0.995414,5.59442,7.84607,0.149083,-0.0827352,0.169064
0.755859,119.325,0.928415,5.60638,8.53041,0.133812,-0.139546,0.136383
0.884766,118.807,1.71326,6.02752,7.59482,0.161301,-0.529888,0.0731585
0.945313,119.378,1.43091,5.78106,7.9011,0.0788338,-0.0885384,-0.00411591
1.00391,119.198,1.45962,6.02034,7.75035,0.0605078,-0.215293,-0.0728382
1.06348,119.061,1.19163,5.78584,7.49432,0.0690599,-0.112362,-0.146753
1.12305,119.103,2.41197,5.55614,8.32942,0.102658,-0.708261,-0.0847501
1.18066,116.123,1.78026,6.53241,7.52304,-0.0970954,-0.02959,-0.117126
1.24023,119.145,2.14158,5.52024,7.7695,-0.0732716,-0.0873167,0.0276491
1.45117,119.241,3.97448,6.75973,7.73121,-0.166123,0.880904,-0.768003
1.51074,119.336,3.40977,5.64467,8.45863,0.347614,-0.118165,-1.02029
1.56836,119.568,1.84008,6.18784,7.19283,0.401676,0.355866,-0.96409
1.62793,119.029,0.79681,6.40559,6.63051,0.344865,-0.608384,-0.653771
1.6875,119.135,-0.856631,5.61356,8.13081,-0.0402849,-0.296843,-1.02487
1.81348,119.241,-0.564706,5.62553,7.37707,0.191844,-0.461777,-0.660796
1.87305,119.357,-0.447458,6.02034,7.51586,-0.0708282,-0.524696,-0.464403
1.93262,119.156,-0.0717847,6.08256,6.6018,-0.0564728,-0.327081,-0.534958
2.06055,119.293,-0.0981058,7.04926,7.51586,0.0489014,-0.13588,-0.271675
