seconds,alt,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro
0.431641,77.9365,-2.06501,4.25683,8.21935,1.05683,0.00828367,-0.504109
0.493164,77.6406,-3.14656,6.50848,5.49153,2.04704,3.47067,-0.150418
0.553711,77.6934,-0.112463,8.22652,9.37748,3.51067,-1.27087,-1.04411
0.612305,78.6235,-4.58943,11.0477,8.82712,3.33413,-0.452309,-1.05267
0.672852,79.2048,-0.459422,8.98744,7.42732,2.57849,-0.815773,-1.72889
0.731445,79.8495,0.772882,7.72164,1.04566,2.19976,-1.23055,-0.818705
0.791016,80.8641,-0.940379,7.09711,4.79522,2.29383,-0.835932,-0.696532
0.920898,82.5763,1.1318,10.4447,2.17508,1.24314,-0.385113,-0.372773
0.981445,83.1682,-6.08495,10.5667,-0.320638,0.836917,-0.567762,-0.334899
1.04102,83.4536,0.600599,10.7007,2.05065,0.603567,-0.172532,-0.00442134
1.10059,83.7601,-1.79701,7.8341,1.82572,0.108155,-0.0662419,0.125082
1.16016,84.056,-3.91944,9.22194,-0.954736,0.256595,-0.16398,0.231983
1.21973,84.6056,-1.38784,8.90609,1.01456,0.399538,0.0345509,-0.0575666
1.2793,84.5528,-2.2325,10.1169,0.89013,-0.00790906,0.176272,0.350491
1.50195,85.1975,2.99821,9.61436,0.229711,-0.0793803,-0.31914,0.391419
1.56348,85.4194,-11.72,10.0762,0.287139,0.0482905,0.0278314,0.136078
1.62305,85.356,-2.6321,9.79143,0.815953,0.0183581,0.0583746,0.0316197
1.75586,85.4405,-2.1009,9.69333,0.588634,-0.0696064,0.00339675,-0.0642861
1.81543,84.9755,-1.7659,11.8373,0.617348,-0.250422,0.306386,-0.268315
1.875,84.7113,-2.28275,11.8397,1.10309,-0.304789,0.236136,-0.436914
1.93457,84.0454,-3.05085,10.4495,0.665205,-0.343885,-0.0240922,-0.742346
1.99414,83.0519,-0.528814,10.0881,0.112463,-0.838686,-0.151763,-0.394764
2.125,80.843,-0.753739,7.66182,1.96929,-1.02194,0.320436,-0.379493
2.18555,80.3991,-2.56989,6.32662,0.760918,-0.921763,0.840893,0.0829324
2.24512,80.2511,-3.71845,6.98226,-2.5005,-0.175286,1.04675,0.0175698
2.30469,80.4202,-4.58226,7.41536,3.00299,0.551643,0.946572,0.126304
2.36426,81.0438,-4.65165,9.04726,3.34756,0.308519,1.12433,0.0584978
2.42383,81.3398,-4.48894,8.9348,3.03649,-0.132526,-0.00882053,0.183114
2.4834,81.5723,-5.05364,9.77947,0.806381,-0.334722,0.792634,0.149517
2.70898,80.9381,-3.52941,6.59701,1.67258,0.270034,-0.623351,0.0102394
