,State,Commercial,Electric Power,Residential,Industrial,Transportation
0,Alabama,2.22,55.25,1.87,21.06,34.69
1,Alaska,2.03,2.75,1.5,16.78,11.85
2,Arizona,2.87,44.28,2.19,4.59,33.08
3,Arkansas,2.94,30.22,1.66,8.21,19.38
4,California,18.87,36.57,24.11,68.84,212.95
5,Colorado,3.91,35.25,7.46,14.26,28.16
6,Connecticut,3.91,6.99,6.27,1.85,15.29
7,Delaware,0.93,3.58,0.84,3.35,4.61
8,District of Columbia,0.94,0.0,0.64,0.03,1.15
9,Florida,7.34,105.9,1.19,12.03,103.6
10,Georgia,4.59,57.48,6.84,13.29,54.04
11,Hawaii,0.33,6.58,0.04,1.33,10.17
12,Idaho,1.37,1.25,1.63,3.37,10.76
13,Illinois,13.31,66.4,22.12,33.93,68.3
14,Indiana,5.24,83.65,7.62,41.99,43.36
15,Iowa,3.49,24.71,4.11,19.47,21.36
16,Kansas,2.39,24.84,3.37,12.8,18.67
17,Kentucky,2.73,72.6,2.89,13.47,32.23
18,Louisiana,2.19,36.14,1.81,121.74,47.25
19,Maine,1.62,1.49,2.92,1.5,8.92
20,Maryland,5.15,17.15,5.48,2.18,27.58
21,Massachusetts,7.01,10.72,11.35,3.42,31.7
22,Michigan,10.24,55.1,18.62,17.64,50.16
23,Minnesota,6.34,26.46,8.05,17.04,31.36
24,Mississippi,1.56,25.91,1.42,10.21,29.82
25,Missouri,4.24,61.72,5.61,8.12,37.98
26,Montana,1.38,15.95,1.46,3.82,7.85
27,Nebraska,1.82,21.15,2.2,9.55,13.83
28,Nevada,2.27,13.9,2.3,3.18,15.0
29,New Hampshire,1.39,2.37,2.52,0.75,6.73
30,New Jersey,10.04,19.66,13.56,9.55,58.03
31,New Mexico,1.7,23.01,2.1,7.42,14.15
32,New York,21.65,27.74,30.59,8.3,75.38
33,North Carolina,5.26,50.75,5.1,10.4,49.05
34,North Dakota,1.0,28.89,0.91,15.14,8.33
35,Ohio,11.0,80.6,16.19,35.49,63.0
36,Oklahoma,2.99,35.34,3.21,22.82,32.56
37,Oregon,2.12,7.77,2.5,5.13,20.44
38,Pennsylvania,10.65,82.06,18.43,45.62,60.66
39,Rhode Island,0.86,2.57,1.81,0.63,3.87
40,South Carolina,2.17,27.52,1.79,7.62,32.61
41,South Dakota,0.74,2.61,0.95,3.88,6.82
42,Tennessee,3.69,35.88,3.64,16.22,43.65
43,Texas,12.63,207.54,10.79,198.03,224.82
44,Utah,2.62,27.46,3.65,7.35,17.68
45,Vermont,0.85,0.0,1.3,0.42,3.37
46,Virginia,5.75,33.59,5.72,11.68,47.49
47,Washington,4.37,9.53,5.08,10.96,48.92
48,West Virginia,1.68,68.79,1.62,10.23,12.24
49,Wisconsin,5.9,38.54,8.65,13.05,29.48
50,Wyoming,1.11,40.26,0.85,10.67,7.78
