Run Name,BCD348/532DEDDL,gf1+2,2014/11/19
Run Date,01:59:44 PM   11-19-14
Method Name,GF.3_0.35
Export Format Version, 1.00
Method ID, 4405
Points/Second, 5.00
Number of Records,  18055
Offset from Run Start Time,00:00:00
Run End Time,01:00:12
Time,Second
UV,AU,
Trace 2,<Not Selected>
Gradient Pump,<Not Selected>
Trace 3,<Not Available>
Trace 4,<Not Available>
Trace 5,<Not Available>
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Selected>
Time,UV
     0.0,0.182193
     0.2,0.182197
     0.4,0.182192
     0.6,0.182186
     0.8,0.182175
     1.0,0.182159
     1.2,0.182144
     1.4,0.182123
     1.6,0.182099
     1.8,0.182075
     2.0,0.182038
     2.2,0.181993
     2.4,0.181938
     2.6,0.181877
     2.8,0.181835
     3.0,0.181807
     3.2,0.181802
     3.4,0.181810
     3.6,0.181827
     3.8,0.181870
     4.0,0.181939
     4.2,0.182022
     4.4,0.182117
     4.6,0.182221
     4.8,0.182342
     5.0,0.182466
     5.2,0.182602
     5.4,0.182725
     5.6,0.182824
     5.8,0.182909
     6.0,0.182976
     6.2,0.183026
     6.4,0.183054
     6.6,0.183068
     6.8,0.183083
     7.0,0.183094
     7.2,0.183107
     7.4,0.183121
     7.6,0.183118
     7.8,0.183122
     8.0,0.183133
     8.2,0.183148
     8.4,0.183169
     8.6,0.183195
     8.8,0.183229
     9.0,0.183265
     9.2,0.183299
     9.4,0.183337
     9.6,0.183367
     9.8,0.183400
    10.0,0.183432
    10.2,0.183466
    10.4,0.183506
    10.6,0.183554
    10.8,0.183601
    11.0,0.183645
    11.2,0.183687
    11.4,0.183729
    11.6,0.183765
    11.8,0.183797
    12.0,0.183824
    12.2,0.183848
    12.4,0.183863
    12.6,0.183866
    12.8,0.183863
    13.0,0.183858
    13.2,0.183857
    13.4,0.183856
    13.6,0.183848
    13.8,0.183837
    14.0,0.183823
    14.2,0.183807
    14.4,0.183795
    14.6,0.183787
    14.8,0.183788
    15.0,0.183795
    15.2,0.183800
    15.4,0.183789
    15.6,0.183775
    15.8,0.183758
    16.0,0.183740
    16.2,0.183731
    16.4,0.183724
    16.6,0.183715
    16.8,0.183696
    17.0,0.183677
    17.2,0.183660
    17.4,0.183647
    17.6,0.183629
    17.8,0.183618
    18.0,0.183595
    18.2,0.183572
    18.4,0.183553
    18.6,0.183536
    18.8,0.183527
    19.0,0.183528
    19.2,0.183538
    19.4,0.183544
    19.6,0.183549
    19.8,0.183548
    20.0,0.183553
    20.2,0.183563
    20.4,0.183585
    20.6,0.183614
    20.8,0.183643
    21.0,0.183665
    21.2,0.183680
    21.4,0.183691
    21.6,0.183694
    21.8,0.183707
    22.0,0.183726
    22.2,0.183733
    22.4,0.183748
    22.6,0.183762
    22.8,0.183778
    23.0,0.183788
    23.2,0.183793
    23.4,0.183792
    23.6,0.183796
    23.8,0.183798
    24.0,0.183807
    24.2,0.183807
    24.4,0.183795
    24.6,0.183793
    24.8,0.183780
    25.0,0.183769
    25.2,0.183749
    25.4,0.183736
    25.6,0.183723
    25.8,0.183709
    26.0,0.183687
    26.2,0.183660
    26.4,0.183633
    26.6,0.183610
    26.8,0.183591
    27.0,0.183568
    27.2,0.183548
    27.4,0.183524
    27.6,0.183505
    27.8,0.183477
    28.0,0.183437
    28.2,0.183398
    28.4,0.183369
    28.6,0.183345
    28.8,0.183319
    29.0,0.183284
    29.2,0.183248
    29.4,0.183217
    29.6,0.183191
