Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,
UV,,Cond,,Conc B,,Run Log,,Fraction,,"UV_CUT_TEMP@100,BASEM",
ml,mAU,ml,mS/cm,ml,%,ml,Logbook,ml,Fraction,ml,mAU
0,5.80278,0,51.173302,0,0,0,Method Settings,4.828979,2,0,2.748638
0.001083,5.805164,0.002165,51.17448,0.010825,0,0.000111,Column Wash,5.82859,3,0.001083,2.74864
0.002165,5.805429,0.00433,51.181545,0.021649,0,4.815575,Elution,6.828552,4,0.002165,2.748641
0.003248,5.805605,0.006495,51.159058,0.032474,0,27.065674,Column Wash,7.829346,5,0.003248,2.748643
0.00433,5.807621,0.008661,51.162045,0.043298,0,31.875954,Column Wash,8.829296,6,0.00433,2.748645
0.005413,5.814301,0.010826,51.170704,0.054123,0,36.695343,Column Wash,9.829369,7,0.005413,2.748646
0.006495,5.819737,0.012991,51.171612,0.064948,0,,,10.8293,8,0.006495,2.748648
0.007578,5.819369,0.015156,51.1675,0.075772,0,,,11.829224,9,0.007578,2.748649
0.008661,5.819126,0.017321,51.164001,0.086597,0,,,12.829327,10,0.008661,2.748651
0.009743,5.817914,0.019486,51.158932,0.097421,0,,,13.830093,11,0.009743,2.748652
0.010826,5.817986,0.021651,51.152107,0.108246,0,,,14.830135,12,0.010826,2.748654
0.011908,5.818027,0.023817,51.138939,0.119071,0,,,15.830051,13,0.011908,2.748655
0.012991,5.816246,0.025982,51.117451,0.129895,0,,,16.830067,14,0.012991,2.748657
0.014073,5.815792,0.028147,51.082275,0.14072,0,,,17.830013,15,0.014073,2.748658
0.015156,5.814299,0.030312,51.04137,0.151544,0,,,18.830093,16,0.015156,2.74866
0.016239,5.813063,0.032477,50.993347,0.162369,0,,,19.830868,17,0.016239,2.748662
0.017321,5.811573,0.034642,50.939068,0.173194,0,,,20.830868,18,0.017321,2.748663
0.018404,5.810089,0.036807,50.883911,0.184018,0,,,21.830856,19,0.018404,2.748665
0.019486,5.808842,0.038973,50.828793,0.194843,0,,,22.830788,20,0.019486,2.748666
0.020569,5.807303,0.041138,50.778336,0.205667,0,,,23.830795,21,0.020569,2.748668
0.021651,5.80524,0.043303,50.731068,0.216492,0,,,24.830711,22,0.021651,2.748669
0.022734,5.802609,0.045468,50.689667,0.227317,0,,,25.830719,23,0.022734,2.748671
0.023817,5.799748,0.047633,50.653938,0.238141,0,,,26.831543,24,0.023817,2.748672
0.024899,5.796805,0.049798,50.621681,0.248966,0,,,27.06485,Waste,0.024899,2.748674
0.025982,5.793811,0.051963,50.595459,0.25979,0,,,27.274933,Waste,0.025982,2.748676
0.027064,5.791424,0.054129,50.573158,0.270615,0,,,,,0.027064,2.748677
