wikidataId,name,universe,company,nemesis
http://www.wikidata.org/entity/Q30880181,Damien Darhk,Arrowverse,Arrowverse,
http://www.wikidata.org/entity/Q1640011,Aang,World of Avatar,Avitar,
http://www.wikidata.org/entity/Q1758871,Katara,World of Avatar,Avitar,
http://www.wikidata.org/entity/Q2060477,Sokka,World of Avatar,Avitar,
http://www.wikidata.org/entity/Q755181,Byakuya Kuchiki,Bleach universe,Bleach,
http://www.wikidata.org/entity/Q719114,Ichigo Kurosaki,Bleach universe,Bleach,
http://www.wikidata.org/entity/Q498184,Orihime Inoue,Bleach universe,Bleach,
http://www.wikidata.org/entity/Q479308,Renji Abarai,Bleach universe,Bleach,
http://www.wikidata.org/entity/Q554163,Sōsuke Aizen,Bleach universe,Bleach,
http://www.wikidata.org/entity/Q2549225,Tetsuzaemon Iba,Bleach universe,Bleach,
http://www.wikidata.org/entity/Q845059,Tōshirō Hitsugaya,Bleach universe,Bleach,
http://www.wikidata.org/entity/Q629768,Yasutora Sado,Bleach universe,Bleach,
http://www.wikidata.org/entity/Q6810961,Melaka Fray,Buffyverse,Buffyverse,
http://www.wikidata.org/entity/Q3614733,Yayoi Aoba,Captain Tsubasa,Captain Tsubasa,
http://www.wikidata.org/entity/Q1923284,Daphne Blake,Scooby Doo,CBS,
http://www.wikidata.org/entity/Q901323,Scooby-Doo,Scooby Doo,CBS,
http://www.wikidata.org/entity/Q929855,Velma Dinkley,Scooby Doo,CBS,
http://www.wikidata.org/entity/Q848673,Shaggy Rogers,Scooby-Doo,CBS,
http://www.wikidata.org/entity/Q6134747,James Gordon, Jr.,DC,
http://www.wikidata.org/entity/Q1773524,Shade, the Changing Man,DC,
http://www.wikidata.org/entity/Q3526078,Peter Cannon, Thunderbolt,DC,
http://www.wikidata.org/entity/Q3547709,Andrea Beaumont,DC animated universe,DC,
http://www.wikidata.org/entity/Q2339663,Harvey Bullock,DC animated universe,DC,
http://www.wikidata.org/entity/Q7303892,Red Claw,DC animated universe,DC,
http://www.wikidata.org/entity/Q3850003,Martha Kent,DC Extended Universe,DC,
http://www.wikidata.org/entity/Q4643057,#711,DC Universe,DC,
http://www.wikidata.org/entity/Q55778947,Aaron Cash,DC Universe,DC,
