STATION,NAME,DATE,CDSD,DSND,DSNW,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,PRCP,SNOW,TAVG,TMAX,TMIN
USC00406371,"MURFREESBORO 5 N, TN US",1900-01,0,,0,-15,,0,31.8,18.9,1196.4,71.9,0,4.1,9.4,-1.1
USC00406371,"MURFREESBORO 5 N, TN US",1900-02,0,,4,-16.7,,25,29.2,21.1,1599.2,83.2,100,2.9,8.3,-2.6
USC00406371,"MURFREESBORO 5 N, TN US",1900-03,0,,2,-8.3,,127,24.1,21.7,1917.1,87.4,152,8.1,13.4,2.8
USC00406371,"MURFREESBORO 5 N, TN US",1900-04,11.3,,,-2.2,,,20.8,26.7,2037.7,113.1,,14.7,20.3,9.1
USC00406371,"MURFREESBORO 5 N, TN US",1900-05,68.9,,,2.8,,,15.2,31.7,2062.7,33.6,,19.4,25.9,12.9
USC00406371,"MURFREESBORO 5 N, TN US",1900-06,223.8,,,15.6,,,61,31.1,2062.7,276.2,,23.5,27.4,19.6
USC00406371,"MURFREESBORO 5 N, TN US",1900-07,439.7,,,15.6,,,38.1,32.2,0,119.2,,25.3,29.8,20.8
USC00406371,"MURFREESBORO 5 N, TN US",1900-08,689.9,,,13.3,,,17.8,35,0,43.1,,26.4,32.1,20.7
USC00406371,"MURFREESBORO 5 N, TN US",1900-09,861.7,,,7.8,,,17.8,33.3,3,78,,24,29.3,18.6
USC00406371,"MURFREESBORO 5 N, TN US",1900-10,911,,,6.7,,,,30,41,,,18.7,24,13.4
USC00406371,"MURFREESBORO 5 N, TN US",1900-11,912.4,,0,-4.4,,0,73.7,23.3,317,151.1,0,9.2,15,3.3
USC00406371,"MURFREESBORO 5 N, TN US",1900-12,912.4,,,-6.1,,,,16.7,719.6,,,5.4,10.6,0
USC00406371,"MURFREESBORO 5 N, TN US",1901-01,0,,0,-8.3,,0,36.8,18.9,1111.6,89,0,4.6,9.3,0
USC00406371,"MURFREESBORO 5 N, TN US",1901-02,0,,1,-8.3,,25,21.6,18.3,1545,28.7,25,2.4,7.2,-2.5
USC00406371,"MURFREESBORO 5 N, TN US",1901-03,,,,,,,31.8,25.6,,63.6,,,15.9,
USC00406371,"MURFREESBORO 5 N, TN US",1901-04,,,0,0,,0,47,27.8,,133.8,0,11.5,17.5,5.6
USC00406371,"MURFREESBORO 5 N, TN US",1901-05,,,,6.7,,,63.5,30,,110,,18.1,24,12.3
USC00406371,"MURFREESBORO 5 N, TN US",1901-06,,,,5,,,22.9,35.6,,35.1,,24.5,30.4,18.6
USC00406371,"MURFREESBORO 5 N, TN US",1901-07,,,,15,,,13.2,38.9,0,30.7,,27.4,34,20.9
USC00406371,"MURFREESBORO 5 N, TN US",1901-08,,,,15,,,,33.9,0,,,24,28.6,19.4
USC00406371,"MURFREESBORO 5 N, TN US",1901-09,,,,5,,,27.4,30.6,25.2,74.4,,20,25.6,14.4
