STATION,NAME,DATE,CDSD,DSND,DSNW,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,PRCP,SNOW,TAVG,TMAX,TMIN
USW00023044,"EL PASO INTERNATIONAL AIRPORT, TX US",1938-04,,,,-2.8,,,1.3,32.2,,1.3,,17.1,25.2,9
USW00023044,"EL PASO INTERNATIONAL AIRPORT, TX US",1938-05,,,,7.2,,,0,36.1,,0,,22.1,29.9,14.3
USW00023044,"EL PASO INTERNATIONAL AIRPORT, TX US",1938-06,,,,13.3,,,64.8,37.8,,108.2,,26.5,33.5,19.5
USW00023044,"EL PASO INTERNATIONAL AIRPORT, TX US",1938-07,,,,15.6,,,4.8,36.1,0,10.2,,26,32.5,19.4
USW00023044,"EL PASO INTERNATIONAL AIRPORT, TX US",1938-08,,,,15,,,3,37.2,0,7.4,,25.9,33.1,18.8
USW00023044,"EL PASO INTERNATIONAL AIRPORT, TX US",1938-09,,0,0,10.6,0,0,29,31.7,0,76.5,0,22.1,29.2,15
USW00023044,"EL PASO INTERNATIONAL AIRPORT, TX US",1938-10,,0,0,3.3,0,0,1.3,31.7,28.3,2.1,0,19,27.1,10.9
USW00023044,"EL PASO INTERNATIONAL AIRPORT, TX US",1938-11,,0,0,-11.1,0,0,0.8,25.6,312,0.8,0,8.9,17.9,-0.2
USW00023044,"EL PASO INTERNATIONAL AIRPORT, TX US",1938-12,,0,0,-8.9,0,0,2.3,21.7,640.9,6.9,0,7.7,16,-0.6
USW00023044,"EL PASO INTERNATIONAL AIRPORT, TX US",1939-01,0,0,0,-7.2,0,0,13.2,21.7,1006.8,17.3,0,6.5,13.8,-0.7
USW00023044,"EL PASO INTERNATIONAL AIRPORT, TX US",1939-02,0,0,0,-8.9,0,0,0,20,1361.6,0,0,5.7,13.9,-2.6
USW00023044,"EL PASO INTERNATIONAL AIRPORT, TX US",1939-03,0.6,0,0,-3.9,0,0,2.5,27.8,1512,4.8,0,13.5,21.5,5.5
