STATION,NAME,DATE,CDSD,DSND,DSNW,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,PRCP,SNOW,TAVG,TMAX,TMIN
USW00094728,"NY CITY CENTRAL PARK, NY US",1900-01,0,,0,-12.2,,13,37.1,13.9,1489.3,107.4,26,0.1,3.8,-3.6
USW00094728,"NY CITY CENTRAL PARK, NY US",1900-02,0,,1,-15,,147,33.3,13.9,2026.4,136.7,168,-0.9,3,-4.7
USW00094728,"NY CITY CENTRAL PARK, NY US",1900-03,0,,1,-11.7,,127,23.6,12.8,2568.8,88.6,151,0.8,4.9,-3.2
USW00094728,"NY CITY CENTRAL PARK, NY US",1900-04,0,,0,-1.1,,0,18.3,23.3,2812.4,51.3,0,10.2,14.5,6
USW00094728,"NY CITY CENTRAL PARK, NY US",1900-05,23.6,,0,3.3,,0,51.3,32.2,2923.5,94.4,0,15.5,20.5,10.5
USW00094728,"NY CITY CENTRAL PARK, NY US",1900-06,131.6,,0,12.8,,0,25.9,33.3,2927.4,56,0,21.8,26.2,17.4
USW00094728,"NY CITY CENTRAL PARK, NY US",1900-07,350.1,,0,13.3,,0,31,36.1,0.6,81.6,0,25.4,29.9,20.8
USW00094728,"NY CITY CENTRAL PARK, NY US",1900-08,560.6,,0,15,,0,32,35.6,0.6,114.7,0,25.1,29.4,20.9
USW00094728,"NY CITY CENTRAL PARK, NY US",1900-09,672.9,,0,10,,0,32,33.3,13.6,63.6,0,21.6,25.4,17.9
USW00094728,"NY CITY CENTRAL PARK, NY US",1900-10,695.2,,0,3.3,,0,34.8,26.7,96,90.6,0,16.4,19.7,13.1
USW00094728,"NY CITY CENTRAL PARK, NY US",1900-11,695.2,,0,-1.1,,0,48.3,23.3,344.7,110.7,0,9.5,12.8,6.1
USW00094728,"NY CITY CENTRAL PARK, NY US",1900-12,695.2,,0,-10.6,,3,35.6,15,841,51.2,3,2.3,5.4,-0.8
USW00094728,"NY CITY CENTRAL PARK, NY US",1901-01,0,,0,-13.3,,3,22.9,11.7,1399.6,42.5,52,0.3,3.5,-2.8
USW00094728,"NY CITY CENTRAL PARK, NY US",1901-02,0,,2,-10,,38,5.8,5.6,1999.5,13.9,76,-3.1,-0.2,-6
