"STATION","NAME","DATE","CDSD","DSND","DSNW","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00025467","MESA, AZ US","1896-03",,"0","0","1.1","0","0.0","9.9","35.0",,"11.7","0","16.7","24.9","8.4"
"USC00025467","MESA, AZ US","1896-04",,"0","0","4.4","0","0.0","0.8","35.6",,"0.8","0","18.3","28.0","8.7"
"USC00025467","MESA, AZ US","1896-06",,"0","0","15.6","0","0.0","0.0","46.7",,"0.0","0","31.2","41.9","20.5"
"USC00025467","MESA, AZ US","1896-07",,"0","0","12.2","0","0.0","22.9","43.3","0.0","86.5","0","28.6","38.4","18.8"
"USC00025467","MESA, AZ US","1896-08",,"0","0","16.1","0","0.0","2.3","43.3","0.0","6.7","0","29.9","37.1","22.8"
"USC00025467","MESA, AZ US","1896-10",,"0","0","7.8","0","0.0","26.9","35.6",,"55.2","0","21.0","27.6","14.3"
"USC00025467","MESA, AZ US","1896-11",,"0","0","1.1","0","0.0","21.6","26.7",,"21.6","0","14.3","21.7","6.8"
"USC00025467","MESA, AZ US","1896-12",,"0","0","0.0","0","0.0","11.4","23.9",,"19.0","0","11.5","19.8","3.1"
"USC00025467","MESA, AZ US","1897-01","0.0","0","0","-2.8","0","0.0","27.9","25.6",,"92.8","0","12.1","19.4","4.9"
"USC00025467","MESA, AZ US","1897-02","0.0","0","0","-3.3","0","0.0","13.5","23.3",,"19.1","0","10.1","18.3","1.9"
"USC00025467","MESA, AZ US","1897-03","0.0","0","0","-2.8","0","0.0","7.1","28.9",,"18.2","0","11.8","20.7","2.9"
"USC00025467","MESA, AZ US","1897-04","49.1","0","0","3.3","0","0.0","0.0","36.1",,"0.0","0","19.2","29.9","8.5"
"USC00025467","MESA, AZ US","1897-05","256.0","0","0","8.9","0","0.0","4.1","39.4",,"4.1","0","25.0","35.4","14.6"
"USC00025467","MESA, AZ US","1897-06","548.7","0","0","13.3","0","0.0","0.0","42.8",,"0.0","0","28.1","38.4","17.8"
"USC00025467","MESA, AZ US","1897-07","985.1","0","0","20.0","0","0.0","5.8","43.3","0.0","8.3","0","32.4","41.4","23.4"
"USC00025467","MESA, AZ US","1897-08","1414.3","0","0","20.6","0","0.0","19.1","43.9","0.0","41.8","0","32.2","40.3","24.0"
"USC00025467","MESA, AZ US","1897-09","1710.5","0","0","17.8","0","0.0","23.1","40.0","0.0","34.1","0","28.2","35.5","20.9"
"USC00025467","MESA, AZ US","1897-10","1789.1","0","0","5.6","0","0.0","2.5","36.7","43.1","2.5","0","19.5","26.7","12.2"
"USC00025467","MESA, AZ US","1897-11","1800.9","0","0","-2.2","0","0.0","0.0","28.9","169.9","0.0","0","14.5","23.1","5.9"
