NAME,POP_2020
Oklahoma,3962031
Nebraska,1961455
Hawaii,1451911
South Dakota,887099
Tennessee,6920119
Nevada,3114071
New Mexico,2117566
Iowa,3188669
Kansas,2935880
District of Columbia,690093
Texas,29217653
Missouri,6154481
Arkansas,3012232
Michigan,10067664
New Hampshire,1377848
North Carolina,10457177
Ohio,11790587
South Carolina,5130729
Wyoming,577267
California,39499738
North Dakota,778962
Louisiana,4651203
Maryland,6172679
Delaware,991886
Pennsylvania,12989625
Georgia,10725800
Oregon,4241544
Minnesota,5707165
Colorado,5784308
New Jersey,9279743
Kentucky,4503958
Washington,7718785
Maine,1362280
Vermont,642495
Idaho,1847772
Indiana,6785644
Montana,1086193
New York,20154933
Puerto Rico,3281538
Connecticut,3600260
Florida,21569932
Virginia,8632044
Massachusetts,7022220
Illinois,12785245
Mississippi,2956870
Arizona,7177986
Utah,3281684
Wisconsin,5892323
Alabama,5024803
West Virginia,1789798
Rhode Island,1096229
Alaska,732441
