Publication Year,Author,Title,ISBN,Publisher,Place,Translator
,"Rieger, Jeorg",Gemeinsam sind wir stärker: „Tiefe Solidarität,978-3-89965-883-5,VSA: Verlag,Hamburg,"Plonz, Sabine"
2014,"Rieger, Jeorg",Fé e viagens no mundo globalizado,,Editora Paulus,Sao Paulo,"Vidigal, José Raimundo"
2012,"Rieger, Jeorg",Graça sob Pressão: Negociando o Coração das Tradições Metodistas,978-85-8046-016-2,São Bernardo do Campo,Editeo,"Maia, Felipe"
,"Rieger, Jeorg",Globalizzazione e Teologia,978-88-399-0884-1,Queriniana,Brescia,"Aguti, Andrea"
2016,"Rieger, Jeorg",La religion del Mercado: Una aproximación crítica a la acumulación y la probreza,,Ediciones La Aurora,Buenos Aires,"Míguez, Néstor"
2012,"Rieger, Jeorg",Para além do espírito do Império: Novas perspectivas em política e religião,,"Paulinas, 2012.",Sao Paulo,"Gilmar Saint’ Clair Ribeiro; Lambert, Barbara T."
2016,"Rieger, Jeorg",Más allá del espiritu imperial: Nuevas perspectivas en política y religión,,Ediciones La Aurora,Buenos Aires,"Míguez, Néstor; Panotto ,Nicolás"
2009,"Rieger, Jeorg",Christus und das Imperium : von Paulus bis zum Postkolonialismus,,Lit Verlag,Berlin,"Plonz, Sabine"
2009,"Rieger, Jeorg",Cristo e Império: de Paulo aos tempos pós-coloniais,,Editora Paulus,Sao Paulo,Luiz Alexandre Solano Rossi
2009,"Rieger, Jeorg",Lembrar-se dos Pobres: o desafio da teologia no século XXI,,Edições Loyola,Sao Paulo,"Gambi, Thiago"
2007,"Anderson, Gary L.; Herr, Kathryn; Thomson Gale","Encyclopedia of activism and social justice Gary Anderson and Kathryn Herr, eds.",978-1-4129-5388-7,Sage Publications,"Thousand Oaks, Calif",
