School Year,School Level,School ID,School Name,State School ID,Zip Code,Grade PreK 3yrs,Grade PreK 4yrs,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian,Black or African American,Hispanic/Latino,Native Hawaiian or Other Pacific Islander,White,Male,Female,Economically Disadvantaged,Disability,Limited English Proficiency,Latitude,Longitude,Mapped Location
18-19,Elementary School,496,A. Z. Kelley Elementary,1,37013,,40,153,146,177,174,157,,,,,,,,,,101,301,227,,218,423,424,300,91,301,36.02181712,-86.65884778,"(36.02181712, -86.65884778)"
18-19,Elementary School,375,Alex Green Elementary,5,37189,,37,53,46,40,33,57,,,,,,,,,1,,220,30,,15,123,143,183,19,25,36.2529607,-86.8322292,"(36.2529607, -86.8322292)"
18-19,Elementary School,105,Amqui Elementary,10,37115,2,29,91,81,89,78,94,,,,,,,,,,2,201,188,,73,230,234,244,47,122,36.27376585,-86.70383153,"(36.27376585, -86.70383153)"
18-19,Elementary School,460,Andrew Jackson Elementary,15,37138,4,29,93,85,90,110,91,,,,,,,,,,17,145,69,1,270,252,250,99,66,33,36.23158465,-86.62377469,"(36.23158465, -86.62377469)"
18-19,High School,110,Antioch High School,20,37013,,,,,,,,,,,,474,476,544,462,,86,705,722,1,442,1047,909,716,223,544,36.04667464,-86.59941833,"(36.04667464, -86.59941833)"
18-19,Middle School,111,Antioch Middle,23,37013,,,,,,,,170,238,200,174,,,,,,65,248,353,4,112,396,386,403,97,391,36.05537897,-86.67182989,"(36.05537897, -86.67182989)"
18-19,Middle School,577,Apollo Middle,25,37013,,,,,,,,211,236,214,174,,,,,2,40,253,388,,152,433,402,403,107,392,36.06687798,-86.66406971,"(36.06687798, -86.66406971)"
18-19,Middle School,130,Bellevue Middle,40,37221,,,,,,,,192,170,169,154,,,,,2,39,228,87,,329,350,335,213,109,82,36.07074879,-86.93482036,"(36.07074879, -86.93482036)"
18-19,Elementary School,135,Bellshire Elementary,45,37207,15,43,67,54,52,66,57,,,,,,,,,,3,298,28,,25,163,191,247,58,26,36.26968766,-86.76230026,"(36.26968766, -86.76230026)"
18-19,Charter,118,Brick Church College Prep,118,37207,,,,,,,,85,86,66,76,,,,,3,2,255,35,,18,172,141,226,6,47,36.22073858,-86.78175245,"(36.22073858, -86.78175245)"
18-19,Elementary School,165,Buena Vista Elementary,70,37208,,36,35,47,45,49,41,,,,,,,,,,,228,12,1,12,126,127,215,44,9,36.17774116,-86.79813805,"(36.17774116, -86.79813805)"
18-19,Elementary School,419,Cambridge Early Learning Center,7005,37013,,136,,,,,,,,,,,,,,,4,69,18,,45,68,68,49,7,,36.06035009,-86.64101743,"(36.06035009, -86.64101743)"
18-19,Charter,181,Cameron College Preparatory,8010,37210,,,,,,,,159,175,138,142,,,,,,4,167,388,,55,315,299,341,80,369,36.14859279,-86.76399902,"(36.14859279, -86.76399902)"
18-19,Elementary School,184,Cane Ridge Elementary,82,37013,,38,100,102,102,99,87,45,,,,,,,,4,18,281,122,1,147,284,289,222,47,188,36.03971967,-86.61815063,"(36.03971967, -86.61815063)"
18-19,High School,182,Cane Ridge High School,77,37013,,,,,,,,,,,,395,480,439,422,3,160,688,592,2,291,917,819,589,199,466,36.03028843,-86.62123021,"(36.03028843, -86.62123021)"
18-19,Elementary School,185,Carter-Lawrence Elementary,670,37203,,19,45,45,61,56,65,,,,,,,,,1,2,235,20,1,32,144,147,154,32,40,36.14365344,-86.78585349,"(36.14365344, -86.78585349)"
18-19,Elementary School,186,Casa Azafran Early Learning Center,7020,37211,11,76,,,,,,,,,,,,,,1,1,17,36,,32,45,42,12,15,,36.12651716,-86.75339875,"(36.12651716, -86.75339875)"
