Airport Name,Minutes of Delay per Flight,Carrier Name,Date,Minutes of Delay,Number of Flights,Ontime Category
Baltimore/Washington International,136,A. Eagle,1/1/2013,1141,8.39,Delayed by Carrier
Baltimore/Washington International,54,A. Eagle,2/1/2013,188,3.51,Delayed by Carrier
Baltimore/Washington International,42,A. Eagle,3/1/2013,405,9.59,Delayed by Carrier
Baltimore/Washington International,37,A. Eagle,4/1/2013,277,7.47,Delayed by Carrier
Baltimore/Washington International,60,A. Eagle,5/1/2013,1115,18.7,Delayed by Carrier
Baltimore/Washington International,53,A. Eagle,6/1/2013,646,12.11,Delayed by Carrier
Baltimore/Washington International,52,A. Eagle,7/1/2013,1028,19.76,Delayed by Carrier
Baltimore/Washington International,38,A. Eagle,8/1/2013,552,14.52,Delayed by Carrier
Baltimore/Washington International,29,A. Eagle,9/1/2013,96,3.36,Delayed by Carrier
Baltimore/Washington International,74,A. Eagle,10/1/2013,333,4.48,Delayed by Carrier
Baltimore/Washington International,26,A. Eagle,11/1/2013,71,2.74,Delayed by Carrier
Charlotte Douglas International,47,A. Eagle,1/1/2013,1218,25.83,Delayed by Carrier
Charlotte Douglas International,53,A. Eagle,2/1/2013,1237,23.23,Delayed by Carrier
Charlotte Douglas International,64,A. Eagle,3/1/2013,1989,30.96,Delayed by Carrier
Charlotte Douglas International,62,A. Eagle,4/1/2013,2046,32.87,Delayed by Carrier
Charlotte Douglas International,62,A. Eagle,5/1/2013,1924,30.81,Delayed by Carrier
Charlotte Douglas International,72,A. Eagle,6/1/2013,3419,47.61,Delayed by Carrier
Charlotte Douglas International,55,A. Eagle,7/1/2013,2856,52,Delayed by Carrier
Charlotte Douglas International,50,A. Eagle,8/1/2013,1767,35.65,Delayed by Carrier
Charlotte Douglas International,43,A. Eagle,9/1/2013,1161,27.02,Delayed by Carrier
Charlotte Douglas International,38,A. Eagle,10/1/2013,787,20.49,Delayed by Carrier
Charlotte Douglas International,30,A. Eagle,11/1/2013,282,9.31,Delayed by Carrier
Chicago O'Hare International,159,A. Eagle,1/1/2013,36837,231.21,Delayed by Carrier
Chicago O'Hare International,147,A. Eagle,2/1/2013,34195,232.83,Delayed by Carrier
Chicago O'Hare International,136,A. Eagle,3/1/2013,26824,197.3,Delayed by Carrier
Chicago O'Hare International,157,A. Eagle,4/1/2013,40395,257.11,Delayed by Carrier
Chicago O'Hare International,127,A. Eagle,5/1/2013,34710,272.85,Delayed by Carrier
Chicago O'Hare International,135,A. Eagle,6/1/2013,49306,365.65,Delayed by Carrier
Chicago O'Hare International,112,A. Eagle,7/1/2013,35312,314.01,Delayed by Carrier
Chicago O'Hare International,93,A. Eagle,8/1/2013,23846,257.58,Delayed by Carrier
Chicago O'Hare International,94,A. Eagle,9/1/2013,17572,186.42,Delayed by Carrier
Chicago O'Hare International,106,A. Eagle,10/1/2013,18362,173.98,Delayed by Carrier
Chicago O'Hare International,120,A. Eagle,11/1/2013,20083,167.1,Delayed by Carrier
Dallas/Fort Worth International,148,A. Eagle,1/1/2013,29325,197.69,Delayed by Carrier
Dallas/Fort Worth International,126,A. Eagle,2/1/2013,21831,173.82,Delayed by Carrier
Dallas/Fort Worth International,134,A. Eagle,3/1/2013,22375,166.63,Delayed by Carrier
Dallas/Fort Worth International,152,A. Eagle,4/1/2013,36833,241.81,Delayed by Carrier
Dallas/Fort Worth International,118,A. Eagle,5/1/2013,29265,248.01,Delayed by Carrier
Dallas/Fort Worth International,119,A. Eagle,6/1/2013,30406,254.69,Delayed by Carrier
Dallas/Fort Worth International,123,A. Eagle,7/1/2013,40136,327.02,Delayed by Carrier
Dallas/Fort Worth International,98,A. Eagle,8/1/2013,24947,255.3,Delayed by Carrier
Dallas/Fort Worth International,105,A. Eagle,9/1/2013,18905,180.37,Delayed by Carrier
Dallas/Fort Worth International,113,A. Eagle,10/1/2013,24332,214.88,Delayed by Carrier
Dallas/Fort Worth International,89,A. Eagle,11/1/2013,18895,211.79,Delayed by Carrier
Denver International,65,A. Eagle,1/1/2013,1249,19.08,Delayed by Carrier
Denver International,63,A. Eagle,2/1/2013,1374,21.98,Delayed by Carrier
Denver International,59,A. Eagle,3/1/2013,1260,21.2,Delayed by Carrier
Denver International,73,A. Eagle,4/1/2013,1666,22.83,Delayed by Carrier
Denver International,52,A. Eagle,5/1/2013,1105,21.38,Delayed by Carrier
Denver International,101,A. Eagle,6/1/2013,2860,28.44,Delayed by Carrier
Denver International,75,A. Eagle,7/1/2013,2279,30.58,Delayed by Carrier
Denver International,57,A. Eagle,8/1/2013,1310,22.96,Delayed by Carrier
Denver International,52,A. Eagle,9/1/2013,713,13.59,Delayed by Carrier
Denver International,38,A. Eagle,10/1/2013,431,11.4,Delayed by Carrier
Denver International,52,A. Eagle,11/1/2013,207,3.95,Delayed by Carrier
Detroit Metro Wayne County,57,A. Eagle,1/1/2013,1324,23.34,Delayed by Carrier
Detroit Metro Wayne County,57,A. Eagle,2/1/2013,1070,18.83,Delayed by Carrier
Detroit Metro Wayne County,59,A. Eagle,3/1/2013,690,11.66,Delayed by Carrier
Detroit Metro Wayne County,62,A. Eagle,4/1/2013,1151,18.5,Delayed by Carrier
Detroit Metro Wayne County,70,A. Eagle,5/1/2013,1343,19.25,Delayed by Carrier
Detroit Metro Wayne County,62,A. Eagle,6/1/2013,2000,32.07,Delayed by Carrier
Detroit Metro Wayne County,62,A. Eagle,7/1/2013,3884,63.13,Delayed by Carrier
Detroit Metro Wayne County,52,A. Eagle,8/1/2013,1702,32.62,Delayed by Carrier
Detroit Metro Wayne County,46,A. Eagle,9/1/2013,826,18.02,Delayed by Carrier
Detroit Metro Wayne County,37,A. Eagle,10/1/2013,753,20.15,Delayed by Carrier
Detroit Metro Wayne County,36,A. Eagle,11/1/2013,417,11.59,Delayed by Carrier
George Bush Intercontinental,64,A. Eagle,1/1/2013,1051,16.47,Delayed by Carrier
George Bush Intercontinental,75,A. Eagle,2/1/2013,639,8.54,Delayed by Carrier
George Bush Intercontinental,42,A. Eagle,3/1/2013,917,22.06,Delayed by Carrier
George Bush Intercontinental,55,A. Eagle,4/1/2013,793,14.54,Delayed by Carrier
George Bush Intercontinental,67,A. Eagle,5/1/2013,2254,33.58,Delayed by Carrier
George Bush Intercontinental,102,A. Eagle,6/1/2013,1803,17.73,Delayed by Carrier
George Bush Intercontinental,60,A. Eagle,7/1/2013,2035,33.84,Delayed by Carrier
George Bush Intercontinental,43,A. Eagle,8/1/2013,909,21.01,Delayed by Carrier
George Bush Intercontinental,48,A. Eagle,9/1/2013,846,17.48,Delayed by Carrier
George Bush Intercontinental,45,A. Eagle,10/1/2013,742,16.34,Delayed by Carrier
George Bush Intercontinental,46,A. Eagle,11/1/2013,368,7.97,Delayed by Carrier
Hartsfield-Jackson Atlanta,50,A. Eagle,1/1/2013,2287,45.29,Delayed by Carrier
Hartsfield-Jackson Atlanta,60,A. Eagle,2/1/2013,2510,41.84,Delayed by Carrier
Hartsfield-Jackson Atlanta,57,A. Eagle,3/1/2013,2439,43.09,Delayed by Carrier
Hartsfield-Jackson Atlanta,69,A. Eagle,4/1/2013,2878,41.76,Delayed by Carrier
Hartsfield-Jackson Atlanta,55,A. Eagle,5/1/2013,2999,54.53,Delayed by Carrier
Hartsfield-Jackson Atlanta,65,A. Eagle,6/1/2013,3296,50.77,Delayed by Carrier
Hartsfield-Jackson Atlanta,62,A. Eagle,7/1/2013,4934,79.24,Delayed by Carrier
Hartsfield-Jackson Atlanta,59,A. Eagle,8/1/2013,2750,46.56,Delayed by Carrier
Hartsfield-Jackson Atlanta,53,A. Eagle,9/1/2013,2183,40.93,Delayed by Carrier
Hartsfield-Jackson Atlanta,45,A. Eagle,10/1/2013,1402,31.26,Delayed by Carrier
Hartsfield-Jackson Atlanta,37,A. Eagle,11/1/2013,632,17.05,Delayed by Carrier
John F. Kennedy International,97,A. Eagle,1/1/2013,1993,20.64,Delayed by Carrier
John F. Kennedy International,74,A. Eagle,2/1/2013,1452,19.68,Delayed by Carrier
John F. Kennedy International,114,A. Eagle,3/1/2013,2336,20.43,Delayed by Carrier
John F. Kennedy International,97,A. Eagle,4/1/2013,2941,30.17,Delayed by Carrier
John F. Kennedy International,105,A. Eagle,5/1/2013,2256,21.5,Delayed by Carrier
John F. Kennedy International,127,A. Eagle,6/1/2013,3260,25.57,Delayed by Carrier
John F. Kennedy International,83,A. Eagle,7/1/2013,2233,26.85,Delayed by Carrier
John F. Kennedy International,88,A. Eagle,8/1/2013,1503,17.17,Delayed by Carrier
John F. Kennedy International,85,A. Eagle,9/1/2013,1624,19.11,Delayed by Carrier
John F. Kennedy International,149,A. Eagle,10/1/2013,2711,18.21,Delayed by Carrier
John F. Kennedy International,94,A. Eagle,11/1/2013,1912,20.29,Delayed by Carrier
LaGuardia,159,A. Eagle,1/1/2013,8936,56.21,Delayed by Carrier
LaGuardia,145,A. Eagle,2/1/2013,7901,54.4,Delayed by Carrier
LaGuardia,161,A. Eagle,3/1/2013,6810,42.35,Delayed by Carrier
LaGuardia,141,A. Eagle,4/1/2013,8266,58.43,Delayed by Carrier
LaGuardia,90,A. Eagle,5/1/2013,5652,62.68,Delayed by Carrier
LaGuardia,150,A. Eagle,6/1/2013,8798,58.83,Delayed by Carrier
LaGuardia,123,A. Eagle,7/1/2013,7210,58.44,Delayed by Carrier
LaGuardia,100,A. Eagle,8/1/2013,4525,45.03,Delayed by Carrier
LaGuardia,109,A. Eagle,9/1/2013,4772,43.85,Delayed by Carrier
LaGuardia,114,A. Eagle,10/1/2013,4330,38.04,Delayed by Carrier
LaGuardia,100,A. Eagle,11/1/2013,3895,38.88,Delayed by Carrier
Los Angeles International,101,A. Eagle,1/1/2013,1735,17.2,Delayed by Carrier
Los Angeles International,104,A. Eagle,2/1/2013,2734,26.3,Delayed by Carrier
Los Angeles International,71,A. Eagle,3/1/2013,1406,19.85,Delayed by Carrier
Los Angeles International,108,A. Eagle,4/1/2013,3497,32.41,Delayed by Carrier
Los Angeles International,91,A. Eagle,5/1/2013,2002,21.99,Delayed by Carrier
Los Angeles International,112,A. Eagle,6/1/2013,4797,42.92,Delayed by Carrier
Los Angeles International,96,A. Eagle,7/1/2013,3536,36.99,Delayed by Carrier
Los Angeles International,101,A. Eagle,8/1/2013,3387,33.38,Delayed by Carrier
Los Angeles International,60,A. Eagle,9/1/2013,804,13.43,Delayed by Carrier
Los Angeles International,63,A. Eagle,10/1/2013,992,15.84,Delayed by Carrier
Los Angeles International,80,A. Eagle,11/1/2013,1557,19.43,Delayed by Carrier
Minneapolis-St Paul International,64,A. Eagle,1/1/2013,1298,20.23,Delayed by Carrier
Minneapolis-St Paul International,50,A. Eagle,2/1/2013,887,17.73,Delayed by Carrier
Minneapolis-St Paul International,54,A. Eagle,3/1/2013,1429,26.31,Delayed by Carrier
