subject,predicate,object
<http://orcid.org/0000-0002-3178-0201>,dcterm:created,"""2014-12-22T22:25:56.900Z""^^xsd:dateTime"
<http://orcid.org/0000-0002-3178-0201>,<http://www.loc.gov/mads/rdf/v1#hasAffiliation>,<http://www.grid.ac/institutes/grid.152326.1>
<http://orcid.org/0000-0002-3178-0201>,rdf:type,foaf:Person
<http://orcid.org/0000-0002-3178-0201>,rdfs:label,"""Julian Hillyer"""
<http://orcid.org/0000-0002-3178-0201>,foaf:familyName,"""Hillyer"""
<http://orcid.org/0000-0002-3178-0201>,foaf:givenName,"""Julian"""
<http://orcid.org/0000-0002-3178-0201>,dcterm:modified,"""2017-08-11T21:51:34.631Z""^^xsd:dateTime"
<http://orcid.org/0000-0003-2360-0589>,dcterm:created,"""2017-05-24T13:47:09.768Z""^^xsd:dateTime"
<http://orcid.org/0000-0003-2360-0589>,<http://www.loc.gov/mads/rdf/v1#hasAffiliation>,<http://www.grid.ac/institutes/grid.152326.1>
<http://orcid.org/0000-0003-2360-0589>,rdf:type,foaf:Person
<http://orcid.org/0000-0003-2360-0589>,rdfs:label,"""Shaul Kelner"""
<http://orcid.org/0000-0003-2360-0589>,foaf:familyName,"""Kelner"""
<http://orcid.org/0000-0003-2360-0589>,foaf:givenName,"""Shaul"""
<http://orcid.org/0000-0003-2360-0589>,dcterm:modified,"""2017-05-24T13:56:27.187Z""^^xsd:dateTime"
<http://dx.doi.org/10.1002/9781118663202.wberen606>,dcterm:creator,<http://orcid.org/0000-0003-2360-0589>
<http://dx.doi.org/10.1002/9781118663202.wberen606>,dcterm:date,"""2015-12-30"""
<http://dx.doi.org/10.1002/9781118663202.wberen606>,<http://purl.org/ontology/bibo/pageEnd>,"""4"""
<http://dx.doi.org/10.1002/9781118663202.wberen606>,<http://purl.org/ontology/bibo/pageStart>,"""1"""
<http://dx.doi.org/10.1002/9781118663202.wberen606>,rdf:type,foaf:Document
<http://dx.doi.org/10.1002/9781118663202.wberen606>,rdfs:label,"""Jews in the United States""@en"
<http://dx.doi.org/10.1002/9781118663202.wberen606>,dcterm:title,"""Jews in the United States""@en"
<http://dx.doi.org/10.1016/j.dci.2015.12.006>,dcterm:creator,<http://orcid.org/0000-0002-3178-0201>
<http://dx.doi.org/10.1016/j.dci.2015.12.006>,dcterm:date,"""2016-05"""
<http://dx.doi.org/10.1016/j.dci.2015.12.006>,<http://purl.org/ontology/bibo/pageEnd>,"""118"""
<http://dx.doi.org/10.1016/j.dci.2015.12.006>,<http://purl.org/ontology/bibo/pageStart>,"""102"""
<http://dx.doi.org/10.1016/j.dci.2015.12.006>,<http://purl.org/ontology/bibo/volume>,"""58"""
<http://dx.doi.org/10.1016/j.dci.2015.12.006>,rdf:type,foaf:Document
<http://dx.doi.org/10.1016/j.dci.2015.12.006>,rdfs:label,"""Insect immunology and hematopoiesis""@en"
<http://dx.doi.org/10.1016/j.dci.2015.12.006>,dcterm:title,"""Insect immunology and hematopoiesis""@en"
<http://dx.doi.org/10.1016/j.jinsphys.2017.06.013>,dcterm:creator,<http://orcid.org/0000-0002-3178-0201>
<http://dx.doi.org/10.1016/j.jinsphys.2017.06.013>,dcterm:date,"""2017-08"""
<http://dx.doi.org/10.1016/j.jinsphys.2017.06.013>,<http://purl.org/ontology/bibo/pageEnd>,"""56"""
<http://dx.doi.org/10.1016/j.jinsphys.2017.06.013>,<http://purl.org/ontology/bibo/pageStart>,"""47"""
<http://dx.doi.org/10.1016/j.jinsphys.2017.06.013>,<http://purl.org/ontology/bibo/volume>,"""101"""
<http://dx.doi.org/10.1016/j.jinsphys.2017.06.013>,rdf:type,foaf:Document
<http://dx.doi.org/10.1016/j.jinsphys.2017.06.013>,rdfs:label,"""Mosquito aging modulates the heart rate and the proportional directionality of heart contractions""@en"
<http://dx.doi.org/10.1016/j.jinsphys.2017.06.013>,dcterm:title,"""Mosquito aging modulates the heart rate and the proportional directionality of heart contractions""@en"
<http://dx.doi.org/10.1177/1536504211418463>,dcterm:creator,<http://orcid.org/0000-0003-2360-0589>
<http://dx.doi.org/10.1177/1536504211418463>,dcterm:date,"""2011-08"""
<http://dx.doi.org/10.1177/1536504211418463>,<http://purl.org/ontology/bibo/pageEnd>,"""73"""
<http://dx.doi.org/10.1177/1536504211418463>,<http://purl.org/ontology/bibo/pageStart>,"""72"""
<http://dx.doi.org/10.1177/1536504211418463>,<http://purl.org/ontology/bibo/volume>,"""10"""
<http://dx.doi.org/10.1177/1536504211418463>,rdf:type,foaf:Document
<http://dx.doi.org/10.1177/1536504211418463>,rdfs:label,"""Let My People Go""@en"
<http://dx.doi.org/10.1177/1536504211418463>,dcterm:title,"""Let My People Go""@en"
<http://dx.doi.org/10.1353/ajh.2014.0012>,dcterm:creator,<http://orcid.org/0000-0003-2360-0589>
<http://dx.doi.org/10.1353/ajh.2014.0012>,dcterm:date,"""2014"""
<http://dx.doi.org/10.1353/ajh.2014.0012>,<http://purl.org/ontology/bibo/pageEnd>,"""22"""
